row_id,Y
0,8.471754
1,6.982721
2,6.169883
3,6.966613
4,7.349511
5,7.358848
6,7.563201
7,7.8666053
8,5.644137
9,7.9516664
10,7.291984
11,7.0859284
12,5.8284264
13,6.2055793
14,7.6892467
15,8.366666
16,7.9316835
17,6.159429
18,7.1165257
19,4.8661804
20,6.9312806
21,7.5820465
22,6.5855002
23,6.7603183
24,6.0297422
25,6.1507483
26,7.093019
27,6.4129014
28,8.167029
29,7.71845
30,7.5745945
31,7.923769
32,7.5877166
33,6.5580654
34,6.8021054
35,5.289277
36,7.4560676
37,4.6235437
38,7.5792203
39,7.39942
40,4.950596
41,8.179176
42,6.361802
43,7.9452553
44,6.0398707
45,7.251317
46,6.7252755
47,7.174092
48,7.271575
49,6.3569903
50,7.84044
51,8.192715
52,7.5609703
53,7.9018116
54,7.3888435
55,7.869866
56,8.140127
57,8.376223
58,7.1554947
59,8.109105
60,6.217501
61,7.345433
62,6.282061
63,6.3948755
64,8.273651
65,7.9655533
66,7.6764736
67,7.2577105
68,7.161336
69,7.390371
70,7.370719
71,7.1231503
72,5.3725452
73,7.6652884
74,7.501134
75,7.729371
76,8.142455
77,7.7896967
78,7.4107575
79,6.46526
80,5.232215
81,6.4050307
82,8.058081
83,7.754083
84,7.801281
85,6.3995075
86,7.917379
87,7.298953
88,8.007103
89,7.7494044
90,8.142929
91,7.786667
92,8.169833
93,7.9546824
94,6.11762
95,6.052517
96,7.5006213
97,8.005476
98,8.165375
99,5.5013957
100,7.507982
101,7.4346633
102,6.1794286
103,7.8128133
104,7.538612
105,5.5996103
106,6.9826317
107,7.2457314
108,7.785989
109,7.0727296
110,7.958032
111,7.5310426
112,7.8747616
113,7.713591
114,7.9741945
115,7.6816697
116,7.565589
117,7.9323735
118,7.8973866
119,8.14686
120,8.168124
121,7.4694753
122,6.9470396
123,7.958338
124,7.1381984
125,8.229654
126,7.179038
127,7.5082865
128,7.8233285
129,6.778351
130,7.7728853
131,7.6357703
132,7.948246
133,7.930263
134,8.635236
135,8.413411
136,5.325945
137,8.076467
138,8.133405
139,4.2473383
140,8.011836
141,7.8743615
142,7.1061296
143,7.3841734
144,7.7816663
145,6.3689847
146,7.6433625
147,7.844186
148,7.9658127
149,7.940343
150,6.2783594
151,6.8425817
152,8.170556
153,7.731045
154,7.862429
155,8.183988
156,8.192889
157,7.172573
158,7.593198
159,6.3211527
160,7.68814
161,7.1576324
162,5.7774067
163,7.6323843
164,7.6814804
165,6.152628
166,6.2282815
167,6.3307977
168,7.964281
169,8.519752
170,6.2937655
171,7.8627934
172,6.7328053
173,8.047924
174,6.404084
175,7.7029614
176,6.8271575
177,7.0833554
178,6.5264635
179,6.1957808
180,6.3974233
181,7.6582646
182,7.590717
183,7.797217
184,8.366666
185,8.117634
186,7.7710295
187,7.4473743
188,7.6974106
189,8.002847
190,7.889833
191,7.829388
192,7.7409844
193,7.969152
194,7.252382
195,7.600817
196,6.5460267
197,7.8944654
198,7.900341
199,7.7736673
200,7.6845217
201,7.8747616
202,7.611463
203,7.686984
204,6.202271
205,8.171014
206,7.062707
207,8.045974
208,5.34739
209,7.736882
210,7.8081117
211,6.6479197
212,7.34996
213,7.09106
214,7.8076234
215,6.7450724
216,7.1883802
217,7.8593855
218,7.6638865
219,6.9758077
220,7.255147
221,6.235031
222,7.6609197
223,7.691459
224,7.079478
225,7.0922785
226,8.0157
227,7.979608
228,7.7481713
229,7.9568424
230,7.393816
231,7.644893
232,7.3891
233,7.9579434
234,6.1756134
235,7.756944
236,7.7549877
237,7.9747443
238,6.1706057
239,6.3987765
240,6.796219
241,5.761067
242,7.7013206
243,7.482063
244,7.919173
245,7.085654
246,6.316789
247,7.564928
248,8.081851
249,6.1976433
250,7.5990963
251,7.819279
252,8.087866
253,7.8891563
254,7.768833
255,6.7612686
256,7.2024913
257,6.8299394
258,7.453028
259,7.965464
260,7.8151417
261,8.604646
262,5.495973
263,7.647553
264,6.3558936
265,7.719922
266,4.6812162
267,7.557703
268,6.0918403
269,8.207969
270,6.991798
271,7.905996
272,7.956582
273,6.7516017
274,7.6355495
